AREA,STATE,FIPS,RATE,Year
"Fayette, TX",TX,48149,67,2012
"Fisher, TX",TX,48151,–,2012
"Floyd, TX",TX,48153,24.5,2012
"Foard, TX",TX,48155,70.1,2012
"Fort Bend, TX",TX,48157,45.7,2012
"Franklin, TX",TX,48159,91.5,2012
"Freestone, TX",TX,48161,53.8,2012
"Frio, TX",TX,48163,52.7,2012
"Gaines, TX",TX,48165,62.4,2012
"Galveston, TX",TX,48167,96.2,2012
"Garza, TX",TX,48169,–,2012
"Gillespie, TX",TX,48171,91.9,2012
"Glasscock, TX",TX,48173,–,2012
"Goliad, TX",TX,48175,–,2012
"Gonzales, TX",TX,48177,55.8,2012
"Gray, TX",TX,48179,153.9,2012
"Grayson, TX",TX,48181,152.5,2012
"Gregg, TX",TX,48183,199.5,2012
"Grimes, TX",TX,48185,34.6,2012
"Guadalupe, TX",TX,48187,55.8,2012
"Hale, TX",TX,48189,76.5,2012
"Hall, TX",TX,48191,–,2012
"Hamilton, TX",TX,48193,–,2012
"Hansford, TX",TX,48195,–,2012
"Hardeman, TX",TX,48197,82,2012
"Hardin, TX",TX,48199,115,2012
"Harris, TX",TX,48201,63.3,2012
"Harrison, TX",TX,48203,76.1,2012
"Hartley, TX",TX,48205,–,2012
"Haskell, TX",TX,48207,–,2012
"Hays, TX",TX,48209,74.4,2012
"Hemphill, TX",TX,48211,–,2012
"Henderson, TX",TX,48213,101.6,2012
"Hidalgo, TX",TX,48215,31.3,2012
"Hill, TX",TX,48217,91.6,2012
"Hockley, TX",TX,48219,99.6,2012
"Hood, TX",TX,48221,139.2,2012
"Hopkins, TX",TX,48223,115.9,2012
"Houston, TX",TX,48225,79.6,2012
"Howard, TX",TX,48227,70.9,2012
"Hudspeth, TX",TX,48229,–,2012
"Hunt, TX",TX,48231,119.5,2012
"Hutchinson, TX",TX,48233,84.8,2012
"Irion, TX",TX,48235,–,2012
"Jack, TX",TX,48237,–,2012
"Jackson, TX",TX,48239,47.8,2012
"Jasper, TX",TX,48241,74.2,2012
"Jeff Davis, TX",TX,48243,–,2012
"Jefferson, TX",TX,48245,95.7,2012
"Jim Hogg, TX",TX,48247,–,2012
"Jim Wells, TX",TX,48249,93.6,2012
"Johnson, TX",TX,48251,97.4,2012
"Jones, TX",TX,48253,37.3,2012
"Karnes, TX",TX,48255,74.5,2012
"Kaufman, TX",TX,48257,96.3,2012
"Kendall, TX",TX,48259,86.5,2012
"Kenedy, TX",TX,48261,–,2012
"Kent, TX",TX,48263,–,2012
"Kerr, TX",TX,48265,115.2,2012
"Kimble, TX",TX,48267,106.4,2012
"King, TX",TX,48269,–,2012
"Kinney, TX",TX,48271,–,2012
"Kleberg, TX",TX,48273,75.1,2012
"Knox, TX",TX,48275,–,2012
"Lamar, TX",TX,48277,181.6,2012
"Lamb, TX",TX,48279,48,2012
"Lampasas, TX",TX,48281,31.6,2012
"La Salle, TX",TX,48283,–,2012
"Lavaca, TX",TX,48285,81.1,2012
"Lee, TX",TX,48287,40.7,2012
"Leon, TX",TX,48289,24.1,2012
"Liberty, TX",TX,48291,129.3,2012
"Limestone, TX",TX,48293,102.7,2012
"Lipscomb, TX",TX,48295,–,2012
"Live Oak, TX",TX,48297,–,2012
"Llano, TX",TX,48299,99.7,2012
"Loving, TX",TX,48301,–,2012
"Lubbock, TX",TX,48303,96,2012
"Lynn, TX",TX,48305,–,2012
"McCulloch, TX",TX,48307,70.2,2012
"McLennan, TX",TX,48309,94.7,2012
"McMullen, TX",TX,48311,–,2012
"Madison, TX",TX,48313,99.7,2012
"Marion, TX",TX,48315,–,2012
"Martin, TX",TX,48317,–,2012
"Mason, TX",TX,48319,–,2012
"Matagorda, TX",TX,48321,97.1,2012
"Maverick, TX",TX,48323,31.8,2012
"Medina, TX",TX,48325,39.5,2012
"Menard, TX",TX,48327,62.1,2012
"Midland, TX",TX,48329,87.9,2012
"Milam, TX",TX,48331,75.7,2012
"Mills, TX",TX,48333,–,2012
"Mitchell, TX",TX,48335,–,2012
"Montague, TX",TX,48337,118,2012
"Montgomery, TX",TX,48339,82.7,2012
"Moore, TX",TX,48341,67.6,2012
"Morris, TX",TX,48343,134.4,2012
"Motley, TX",TX,48345,–,2012
"Nacogdoches, TX",TX,48347,109.7,2012
"Navarro, TX",TX,48349,90,2012
"Newton, TX",TX,48351,64.7,2012
"Nolan, TX",TX,48353,157,2012
"Nueces, TX",TX,48355,97.6,2012
"Ochiltree, TX",TX,48357,81.5,2012
"Oldham, TX",TX,48359,–,2012
"Orange, TX",TX,48361,119.6,2012
"Palo Pinto, TX",TX,48363,148,2012
"Panola, TX",TX,48365,97,2012
"Parker, TX",TX,48367,84.6,2012
"Parmer, TX",TX,48369,–,2012
"Pecos, TX",TX,48371,49.1,2012
"Polk, TX",TX,48373,89.2,2012
"Potter, TX",TX,48375,99.1,2012
"Presidio, TX",TX,48377,–,2012
"Rains, TX",TX,48379,76.8,2012
"Randall, TX",TX,48381,89.9,2012
"Reagan, TX",TX,48383,–,2012
"Real, TX",TX,48385,–,2012
"Red River, TX",TX,48387,–,2012
"Reeves, TX",TX,48389,82.1,2012
"Refugio, TX",TX,48391,–,2012
"Roberts, TX",TX,48393,–,2012
"Robertson, TX",TX,48395,31.9,2012
"Rockwall, TX",TX,48397,91.4,2012
"Runnels, TX",TX,48399,50.5,2012
"Rusk, TX",TX,48401,68.5,2012
"Sabine, TX",TX,48403,61.6,2012
"San Augustine, TX",TX,48405,99,2012
"San Jacinto, TX",TX,48407,23.7,2012
"San Patricio, TX",TX,48409,81.8,2012
"San Saba, TX",TX,48411,84.7,2012
"Schleicher, TX",TX,48413,–,2012
"Scurry, TX",TX,48415,108.8,2012
"Shackelford, TX",TX,48417,–,2012
"Shelby, TX",TX,48419,97.9,2012
"Sherman, TX",TX,48421,83.6,2012
"Smith, TX",TX,48423,113.8,2012
"Somervell, TX",TX,48425,118.5,2012
"Starr, TX",TX,48427,33,2012
"Stephens, TX",TX,48429,152.9,2012
"Sterling, TX",TX,48431,–,2012
"Stonewall, TX",TX,48433,–,2012
"Sutton, TX",TX,48435,–,2012
"Swisher, TX",TX,48437,–,2012
"Tarrant, TX",TX,48439,84.8,2012
"Taylor, TX",TX,48441,140.1,2012
"Terrell, TX",TX,48443,–,2012
"Terry, TX",TX,48445,67.3,2012
"Throckmorton, TX",TX,48447,–,2012
"Titus, TX",TX,48449,139.2,2012
"Tom Green, TX",TX,48451,105.4,2012
"Travis, TX",TX,48453,69.9,2012
"Trinity, TX",TX,48455,107,2012
"Tyler, TX",TX,48457,68.2,2012
"Upshur, TX",TX,48459,20.3,2012
"Upton, TX",TX,48461,–,2012
"Uvalde, TX",TX,48463,75.7,2012
"Val Verde, TX",TX,48465,40.9,2012
"Van Zandt, TX",TX,48467,101.5,2012
"Victoria, TX",TX,48469,122.7,2012
"Walker, TX",TX,48471,82.4,2012
"Waller, TX",TX,48473,15.7,2012
"Ward, TX",TX,48475,80.8,2012
"Washington, TX",TX,48477,83.9,2012
"Webb, TX",TX,48479,31.7,2012
"Wharton, TX",TX,48481,77.9,2012
"Wheeler, TX",TX,48483,61.6,2012
"Wichita, TX",TX,48485,133.2,2012
"Wilbarger, TX",TX,48487,187.7,2012
"Willacy, TX",TX,48489,54.1,2012
"Williamson, TX",TX,48491,75.6,2012
"Wilson, TX",TX,48493,51.9,2012
"Winkler, TX",TX,48495,89.6,2012
"Wise, TX",TX,48497,73.4,2012
"Wood, TX",TX,48499,85.5,2012
"Yoakum, TX",TX,48501,58.2,2012
"Young, TX",TX,48503,112.2,2012
"Zapata, TX",TX,48505,–,2012
"Zavala, TX",TX,48507,37.6,2012
"Beaver, UT",UT,49001,105.7,2012
"Box Elder, UT",UT,49003,72.1,2012
"Cache, UT",UT,49005,59.8,2012
"Carbon, UT",UT,49007,191,2012
"Daggett, UT",UT,49009,–,2012
"Davis, UT",UT,49011,79.2,2012
"Duchesne, UT",UT,49013,65.9,2012
"Emery, UT",UT,49015,104.6,2012
"Garfield, UT",UT,49017,100.2,2012
"Grand, UT",UT,49019,111.8,2012
"Iron, UT",UT,49021,108.3,2012
"Juab, UT",UT,49023,87.1,2012
"Kane, UT",UT,49025,120.3,2012
"Millard, UT",UT,49027,115.5,2012
"Morgan, UT",UT,49029,51.4,2012
"Piute, UT",UT,49031,–,2012
"Rich, UT",UT,49033,56.9,2012
"Salt Lake, UT",UT,49035,87,2012
"San Juan, UT",UT,49037,29,2012
"Sanpete, UT",UT,49039,91,2012
"Sevier, UT",UT,49041,131.9,2012
"Summit, UT",UT,49043,78.1,2012
"Tooele, UT",UT,49045,96.1,2012
"Uintah, UT",UT,49047,96.4,2012
"Utah, UT",UT,49049,69.5,2012
"Wasatch, UT",UT,49051,81.8,2012
"Washington, UT",UT,49053,101,2012
"Wayne, UT",UT,49055,–,2012
"Weber, UT",UT,49057,99.5,2012
"Accomack, VA",VA,51001,69.2,2012
"Albemarle, VA",VA,51003,73.8,2012
"Alleghany, VA",VA,51005,84.5,2012
"Amelia, VA",VA,51007,57.6,2012
"Amherst, VA",VA,51009,95,2012
"Appomattox, VA",VA,51011,140.4,2012
"Arlington, VA",VA,51013,30.4,2012
"Augusta, VA",VA,51015,36.4,2012
"Bath, VA",VA,51017,75.8,2012
"Bedford, VA",VA,51019,50.4,2012
"Bland, VA",VA,51021,82.1,2012
"Botetourt, VA",VA,51023,46.6,2012
"Brunswick, VA",VA,51025,27.4,2012
"Buchanan, VA",VA,51027,130.9,2012
"Buckingham, VA",VA,51029,–,2012
"Campbell, VA",VA,51031,38.7,2012
"Caroline, VA",VA,51033,22.2,2012
"Carroll, VA",VA,51035,44.4,2012
"Charles City, VA",VA,51036,–,2012
"Charlotte, VA",VA,51037,38.6,2012
"Chesterfield, VA",VA,51041,84.7,2012
"Clarke, VA",VA,51043,10,2012
"Craig, VA",VA,51045,–,2012
"Culpeper, VA",VA,51047,99,2012
"Cumberland, VA",VA,51049,36.9,2012
"Dickenson, VA",VA,51051,170,2012
"Dinwiddie, VA",VA,51053,5.3,2012
"Essex, VA",VA,51057,126,2012
"Fairfax, VA",VA,51059,38.5,2012
"Fauquier, VA",VA,51061,99.1,2012
"Floyd, VA",VA,51063,78.5,2012
"Fluvanna, VA",VA,51065,36.1,2012
"Franklin, VA",VA,51067,110.3,2012
"Frederick, VA",VA,51069,66.3,2012
"Giles, VA",VA,51071,181.3,2012
"Gloucester, VA",VA,51073,130.3,2012
"Goochland, VA",VA,51075,23.3,2012
"Grayson, VA",VA,51077,29.5,2012
"Greene, VA",VA,51079,77.7,2012
"Greensville, VA",VA,51081,–,2012
"Halifax, VA",VA,51083,85.4,2012
"Hanover, VA",VA,51085,108.6,2012
"Henrico, VA",VA,51087,87.1,2012
"Henry, VA",VA,51089,106.9,2012
"Highland, VA",VA,51091,–,2012
"Isle of Wight, VA",VA,51093,66.1,2012
"James City, VA",VA,51095,122,2012
"King and Queen, VA",VA,51097,–,2012
"King George, VA",VA,51099,53.9,2012
"King William, VA",VA,51101,51,2012
"Lancaster, VA",VA,51103,192,2012
"Lee, VA",VA,51105,130.5,2012
"Loudoun, VA",VA,51107,44.4,2012
"Louisa, VA",VA,51109,67.5,2012
"Lunenburg, VA",VA,51111,–,2012
"Madison, VA",VA,51113,–,2012
"Mathews, VA",VA,51115,59.7,2012
"Mecklenburg, VA",VA,51117,119,2012
"Middlesex, VA",VA,51119,–,2012
"Montgomery, VA",VA,51121,81.7,2012
"Nelson, VA",VA,51125,36.2,2012
"New Kent, VA",VA,51127,72.8,2012
"Northampton, VA",VA,51131,125.2,2012
"Northumberland, VA",VA,51133,36.1,2012
"Nottoway, VA",VA,51135,86.1,2012
"Orange, VA",VA,51137,112.9,2012
"Page, VA",VA,51139,109.9,2012
"Patrick, VA",VA,51141,81.1,2012
"Pittsylvania, VA",VA,51143,23.4,2012
"Powhatan, VA",VA,51145,50.1,2012
"Prince Edward, VA",VA,51147,114.4,2012
"Prince George, VA",VA,51149,–,2012
"Prince William, VA",VA,51153,50.4,2012
"Pulaski, VA",VA,51155,179.6,2012
"Rappahannock, VA",VA,51157,–,2012
"Richmond, VA",VA,51159,53.2,2012
"Roanoke, VA",VA,51161,94.7,2012
"Rockbridge, VA",VA,51163,–,2012
"Rockingham, VA",VA,51165,34.5,2012
"Russell, VA",VA,51167,154.7,2012
"Scott, VA",VA,51169,153.9,2012
"Shenandoah, VA",VA,51171,93.3,2012
"Smyth, VA",VA,51173,147.4,2012
"Southampton, VA",VA,51175,4.1,2012
"Spotsylvania, VA",VA,51177,91,2012
"Stafford, VA",VA,51179,67.5,2012
"Surry, VA",VA,51181,–,2012
"Sussex, VA",VA,51183,28.7,2012
"Tazewell, VA",VA,51185,215,2012
"Warren, VA",VA,51187,123.8,2012
"Washington, VA",VA,51191,138,2012
"Westmoreland, VA",VA,51193,60.1,2012
"Wise, VA",VA,51195,266.8,2012
"Wythe, VA",VA,51197,134.7,2012
"York, VA",VA,51199,64.6,2012
"Alexandria, VA",VA,51510,41.8,2012
"Bedford City, VA",VA,51515,–,2012
"Bristol, VA",VA,51520,217.7,2012
"Buena Vista, VA",VA,51530,86.3,2012
"Charlottesville, VA",VA,51540,80.1,2012
"Chesapeake, VA",VA,51550,82.8,2012
"Colonial Heights, VA",VA,51570,309.9,2012
"Covington, VA",VA,51580,295.1,2012
"Danville, VA",VA,51590,203.3,2012
"Emporia, VA",VA,51595,313,2012
"Fairfax City, VA",VA,51600,96.1,2012
"Falls Church, VA",VA,51610,99.3,2012
"Franklin City, VA",VA,51620,297.2,2012
"Fredericksburg, VA",VA,51630,201.5,2012
"Galax, VA",VA,51640,439.2,2012
"Hampton, VA",VA,51650,100.3,2012
"Harrisonburg, VA",VA,51660,147.8,2012
"Hopewell, VA",VA,51670,172.7,2012
"Lexington, VA",VA,51678,334.2,2012
"Lynchburg, VA",VA,51680,174.8,2012
"Manassas, VA",VA,51683,134.6,2012
"Manassas Park, VA",VA,51685,–,2012
"Martinsville, VA",VA,51690,548.1,2012
"Newport News, VA",VA,51700,79.6,2012
"Norfolk, VA",VA,51710,73.7,2012
"Norton, VA",VA,51720,570.1,2012
"Petersburg, VA",VA,51730,157.1,2012
"Poquoson, VA",VA,51735,119.5,2012
"Portsmouth, VA",VA,51740,120.2,2012
"Radford, VA",VA,51750,146.1,2012
"Richmond City, VA",VA,51760,74.6,2012
"Roanoke City, VA",VA,51770,143.5,2012
"Salem, VA",VA,51775,249.2,2012
"Staunton, VA",VA,51790,232.5,2012
"Suffolk, VA",VA,51800,92.3,2012
"Virginia Beach, VA",VA,51810,70.7,2012
"Waynesboro, VA",VA,51820,268.2,2012
"Williamsburg, VA",VA,51830,–,2012
"Winchester, VA",VA,51840,226.4,2012
"Addison, VT",VT,50001,25.2,2012
"Bennington, VT",VT,50003,77.6,2012
"Caledonia, VT",VT,50005,48.7,2012
"Chittenden, VT",VT,50007,49.1,2012
"Essex, VT",VT,50009,–,2012
"Franklin, VT",VT,50011,55.9,2012
"Grand Isle, VT",VT,50013,29.5,2012
"Lamoille, VT",VT,50015,36.3,2012
"Orange, VT",VT,50017,22.7,2012
"Orleans, VT",VT,50019,37.2,2012
"Rutland, VT",VT,50021,97.9,2012
"Washington, VT",VT,50023,48.5,2012
"Windham, VT",VT,50025,80.5,2012
"Windsor, VT",VT,50027,57.6,2012
"Adams, WA",WA,53001,24.5,2012
"Asotin, WA",WA,53003,172.7,2012
"Benton, WA",WA,53005,113.2,2012
"Chelan, WA",WA,53007,97.3,2012
"Clallam, WA",WA,53009,145.2,2012
"Clark, WA",WA,53011,67.3,2012
"Columbia, WA",WA,53013,129.2,2012
"Cowlitz, WA",WA,53015,107.2,2012
"Douglas, WA",WA,53017,72.2,2012
"Ferry, WA",WA,53019,85.9,2012
"Franklin, WA",WA,53021,68.2,2012
"Garfield, WA",WA,53023,28.7,2012
"Grant, WA",WA,53025,90.6,2012
"Grays Harbor, WA",WA,53027,118.5,2012
"Island, WA",WA,53029,43.5,2012
"Jefferson, WA",WA,53031,91.5,2012
"King, WA",WA,53033,62.3,2012
"Kitsap, WA",WA,53035,76.3,2012
"Kittitas, WA",WA,53037,66.2,2012
"Klickitat, WA",WA,53039,29.7,2012
"Lewis, WA",WA,53041,124.6,2012
"Lincoln, WA",WA,53043,92.3,2012
"Mason, WA",WA,53045,105.4,2012
"Okanogan, WA",WA,53047,82.7,2012
"Pacific, WA",WA,53049,59.2,2012
"Pend Oreille, WA",WA,53051,133.1,2012
"Pierce, WA",WA,53053,78.7,2012
"San Juan, WA",WA,53055,17.2,2012
"Skagit, WA",WA,53057,95.6,2012
"Skamania, WA",WA,53059,59.2,2012
"Snohomish, WA",WA,53061,89.3,2012
"Spokane, WA",WA,53063,96.9,2012
"Stevens, WA",WA,53065,87.2,2012
"Thurston, WA",WA,53067,74.4,2012
"Wahkiakum, WA",WA,53069,89.2,2012
"Walla Walla, WA",WA,53071,94.1,2012
"Whatcom, WA",WA,53073,84.3,2012
"Whitman, WA",WA,53075,56,2012
"Yakima, WA",WA,53077,77.4,2012
"Adams, WI",WI,55001,49.8,2012
"Ashland, WI",WI,55003,111.3,2012
"Barron, WI",WI,55005,82,2012
"Bayfield, WI",WI,55007,14.5,2012
"Brown, WI",WI,55009,77.2,2012
"Buffalo, WI",WI,55011,6.2,2012
"Burnett, WI",WI,55013,58.4,2012
"Calumet, WI",WI,55015,18.7,2012
"Chippewa, WI",WI,55017,55.7,2012
"Clark, WI",WI,55019,31.6,2012
"Columbia, WI",WI,55021,110,2012
"Crawford, WI",WI,55023,77.6,2012
"Dane, WI",WI,55025,66.9,2012
"Dodge, WI",WI,55027,49,2012
"Door, WI",WI,55029,53.7,2012
"Douglas, WI",WI,55031,102.4,2012
"Dunn, WI",WI,55033,58.7,2012
"Eau Claire, WI",WI,55035,75.8,2012
"Florence, WI",WI,55037,–,2012
"Fond du Lac, WI",WI,55039,70.5,2012
"Forest, WI",WI,55041,57.1,2012
"Grant, WI",WI,55043,57.8,2012
"Green, WI",WI,55045,65.7,2012
"Green Lake, WI",WI,55047,79.2,2012
"Iowa, WI",WI,55049,52.8,2012
"Iron, WI",WI,55051,71.5,2012
"Jackson, WI",WI,55053,37.8,2012
"Jefferson, WI",WI,55055,76.4,2012
"Juneau, WI",WI,55057,105.6,2012
"Kenosha, WI",WI,55059,82.8,2012
"Kewaunee, WI",WI,55061,25.4,2012
"La Crosse, WI",WI,55063,79.2,2012
"Lafayette, WI",WI,55065,16.4,2012
"Langlade, WI",WI,55067,109.3,2012
"Lincoln, WI",WI,55069,88.8,2012
"Manitowoc, WI",WI,55071,79,2012
"Marathon, WI",WI,55073,56.8,2012
"Marinette, WI",WI,55075,86.9,2012
"Marquette, WI",WI,55077,38.6,2012
"Menominee, WI",WI,55078,–,2012
"Milwaukee, WI",WI,55079,97.9,2012
"Monroe, WI",WI,55081,74.3,2012
"Oconto, WI",WI,55083,42.6,2012
"Oneida, WI",WI,55085,108,2012
"Outagamie, WI",WI,55087,72.1,2012
"Ozaukee, WI",WI,55089,66.8,2012
"Pepin, WI",WI,55091,68.5,2012
"Pierce, WI",WI,55093,35.8,2012
"Polk, WI",WI,55095,75.7,2012
"Portage, WI",WI,55097,74.5,2012
"Price, WI",WI,55099,65.4,2012
"Racine, WI",WI,55101,94.1,2012
"Richland, WI",WI,55103,14.6,2012
"Rock, WI",WI,55105,93.5,2012
"Rusk, WI",WI,55107,45.6,2012
"St. Croix, WI",WI,55109,57.7,2012
"Sauk, WI",WI,55111,81.7,2012
"Sawyer, WI",WI,55113,101.6,2012
"Shawano, WI",WI,55115,57.9,2012
"Sheboygan, WI",WI,55117,82.4,2012
"Taylor, WI",WI,55119,34.2,2012
"Trempealeau, WI",WI,55121,41.7,2012
"Vernon, WI",WI,55123,51.7,2012
"Vilas, WI",WI,55125,76.1,2012
"Walworth, WI",WI,55127,76.5,2012
"Washburn, WI",WI,55129,66.6,2012
"Washington, WI",WI,55131,83.1,2012
"Waukesha, WI",WI,55133,82,2012
"Waupaca, WI",WI,55135,91.3,2012
"Waushara, WI",WI,55137,21.8,2012
"Winnebago, WI",WI,55139,76.5,2012
"Wood, WI",WI,55141,85.9,2012
"Barbour, WV",WV,54001,109.9,2012
"Berkeley, WV",WV,54003,119.8,2012
"Boone, WV",WV,54005,198.7,2012
"Braxton, WV",WV,54007,113,2012
"Brooke, WV",WV,54009,133.8,2012
"Cabell, WV",WV,54011,167.5,2012
"Calhoun, WV",WV,54013,63.5,2012
"Clay, WV",WV,54015,82.4,2012
"Doddridge, WV",WV,54017,49.3,2012
"Fayette, WV",WV,54019,116.4,2012
"Gilmer, WV",WV,54021,65,2012
"Grant, WV",WV,54023,97.7,2012
"Greenbrier, WV",WV,54025,180.5,2012
"Hampshire, WV",WV,54027,91.3,2012
"Hancock, WV",WV,54029,177,2012
"Hardy, WV",WV,54031,100.5,2012
"Harrison, WV",WV,54033,153.9,2012
"Jackson, WV",WV,54035,125.3,2012
"Jefferson, WV",WV,54037,98.1,2012
"Kanawha, WV",WV,54039,160.5,2012
"Lewis, WV",WV,54041,126.1,2012
"Lincoln, WV",WV,54043,54,2012
"Logan, WV",WV,54045,300.1,2012
"McDowell, WV",WV,54047,166.1,2012
"Marion, WV",WV,54049,125.4,2012
"Marshall, WV",WV,54051,157.8,2012
"Mason, WV",WV,54053,137.5,2012
"Mercer, WV",WV,54055,175.5,2012
"Mineral, WV",WV,54057,114.9,2012
"Mingo, WV",WV,54059,201.2,2012
"Monongalia, WV",WV,54061,91.3,2012
"Monroe, WV",WV,54063,26.2,2012
"Morgan, WV",WV,54065,78.4,2012
"Nicholas, WV",WV,54067,203.7,2012
"Ohio, WV",WV,54069,121.7,2012
"Pendleton, WV",WV,54071,77.1,2012
"Pleasants, WV",WV,54073,151,2012
"Pocahontas, WV",WV,54075,82.6,2012
"Preston, WV",WV,54077,60.5,2012
"Putnam, WV",WV,54079,117.2,2012
"Raleigh, WV",WV,54081,208.5,2012
"Randolph, WV",WV,54083,130.2,2012
"Ritchie, WV",WV,54085,63,2012
"Roane, WV",WV,54087,138.3,2012
"Summers, WV",WV,54089,107.1,2012
"Taylor, WV",WV,54091,88.5,2012
"Tucker, WV",WV,54093,54.2,2012
"Tyler, WV",WV,54095,–,2012
"Upshur, WV",WV,54097,90,2012
"Wayne, WV",WV,54099,77.6,2012
"Webster, WV",WV,54101,98.8,2012
"Wetzel, WV",WV,54103,130.3,2012
"Wirt, WV",WV,54105,62.7,2012
"Wood, WV",WV,54107,147.6,2012
"Wyoming, WV",WV,54109,217.4,2012
"Albany, WY",WY,56001,59.2,2012
"Big Horn, WY",WY,56003,50.3,2012
"Campbell, WY",WY,56005,90.6,2012
"Carbon, WY",WY,56007,77,2012
"Converse, WY",WY,56009,76.9,2012
"Crook, WY",WY,56011,–,2012
"Fremont, WY",WY,56013,86.4,2012
"Goshen, WY",WY,56015,31,2012
"Hot Springs, WY",WY,56017,92.3,2012
"Johnson, WY",WY,56019,62.2,2012
"Laramie, WY",WY,56021,85.7,2012
"Lincoln, WY",WY,56023,45.8,2012
"Natrona, WY",WY,56025,94.2,2012
"Niobrara, WY",WY,56027,–,2012
"Park, WY",WY,56029,110.5,2012
"Platte, WY",WY,56031,51.4,2012
"Sheridan, WY",WY,56033,67.1,2012
"Sublette, WY",WY,56035,55.2,2012
"Sweetwater, WY",WY,56037,95.4,2012
"Teton, WY",WY,56039,85.4,2012
"Uinta, WY",WY,56041,100.2,2012
"Washakie, WY",WY,56043,94,2012
"Weston, WY",WY,56045,59.1,2012
